epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,48618.5,1.27549,0.91858,1.02982,0.62147,0.53544,0.56013,0.35366,1.28549,0.95238,1.05545,0.000390936,0.000390936,0.000390936
125,49009.5,1.27292,0.91058,1.029,0.6233,0.53409,0.55996,0.35368,1.28583,0.95228,1.0555,0.000384344,0.000384344,0.000384344
126,49412.3,1.27368,0.91101,1.02852,0.62307,0.53368,0.56006,0.35346,1.28584,0.9523,1.05552,0.000377792,0.000377792,0.000377792
127,49805.3,1.28074,0.92006,1.03385,0.62581,0.53174,0.55983,0.35333,1.28585,0.95197,1.05551,0.000371283,0.000371283,0.000371283
128,50191.8,1.2782,0.9171,1.03127,0.62332,0.53287,0.55986,0.35328,1.28612,0.95164,1.05558,0.000364819,0.000364819,0.000364819
129,50593.3,1.27562,0.9127,1.0279,0.62448,0.53175,0.55962,0.35322,1.28627,0.95158,1.05566,0.000358399,0.000358399,0.000358399
130,50979.5,1.26864,0.90665,1.02822,0.63171,0.52753,0.5594,0.35328,1.28637,0.9514,1.05563,0.000352027,0.000352027,0.000352027
131,51371.8,1.26896,0.91166,1.02857,0.6254,0.53052,0.55968,0.35315,1.28613,0.95081,1.05535,0.000345704,0.000345704,0.000345704
132,51771.2,1.26882,0.90638,1.02727,0.62783,0.52877,0.5593,0.35284,1.28601,0.95009,1.05517,0.000339432,0.000339432,0.000339432
133,52170.3,1.26822,0.90469,1.02586,0.63026,0.52769,0.55899,0.35259,1.28605,0.94978,1.05499,0.000333211,0.000333211,0.000333211
134,52573,1.26424,0.89511,1.02487,0.62509,0.53004,0.55822,0.35207,1.28601,0.94975,1.0547,0.000327044,0.000327044,0.000327044
135,52970,1.26947,0.89985,1.02522,0.62713,0.52909,0.55829,0.35203,1.2862,0.94953,1.05452,0.000320931,0.000320931,0.000320931
136,53361,1.26734,0.89912,1.0274,0.6302,0.52797,0.55848,0.35175,1.28632,0.9495,1.05455,0.000314876,0.000314876,0.000314876
137,53746.8,1.26233,0.89668,1.02512,0.62116,0.53332,0.55887,0.35236,1.28635,0.94943,1.05452,0.000308878,0.000308878,0.000308878
138,54149.8,1.26565,0.89714,1.02578,0.62297,0.53261,0.55864,0.35236,1.28666,0.94942,1.05464,0.00030294,0.00030294,0.00030294
